#timestamp_lkf,mono_status,stereo_status,nr_keypoints,nrDetectedFeatures,nrTrackerFeatures,nrMonoInliers,nrMonoPutatives,nrStereoInliers,nrStereoPutatives,monoRansacIters,stereoRansacIters,nrValidRKP,nrNoLeftRectRKP,nrNoRightRectRKP,nrNoDepthRKP,nrFailedArunRKP,featureDetectionTime,featureTrackingTime,monoRansacTime,stereoRansacTime,featureSelectionTime,extracted_corners,need_n_corners
462208000000,VALID,DISABLED,313,0,112,112,112,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0
462428000000,VALID,DISABLED,314,0,313,313,313,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0
462644000000,VALID,DISABLED,315,0,314,314,314,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0
462892000000,VALID,DISABLED,303,0,268,268,268,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0
463108000000,VALID,DISABLED,301,0,291,286,291,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0
463348000000,VALID,DISABLED,298,0,299,256,299,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0
463616000000,VALID,DISABLED,300,0,297,285,297,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0
463824000000,VALID,DISABLED,301,0,299,273,299,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0
464100000000,VALID,DISABLED,301,0,300,300,300,0,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0
464368000000,VALID,DISABLED,300,0,298,291,298,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0
464592000000,VALID,DISABLED,301,0,300,300,300,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0
464824000000,VALID,DISABLED,301,0,297,287,297,0,0,2,0,0,0,0,0,0,0,20,0,0,0,0,0
465084000000,VALID,DISABLED,303,0,281,273,281,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0
465288000000,VALID,DISABLED,303,0,303,302,303,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,0
465516000000,VALID,DISABLED,302,0,303,301,303,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0
465760000000,VALID,DISABLED,303,0,302,302,302,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0
466000000000,VALID,DISABLED,300,0,303,298,303,0,0,2,0,0,0,0,0,0,0,9,3,0,0,0,0
466264000000,VALID,DISABLED,302,0,298,274,298,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0
466484000000,VALID,DISABLED,303,0,302,302,302,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0
466752000000,VALID,DISABLED,293,0,302,174,302,0,0,14,0,0,0,0,0,0,0,11,0,0,0,0,0
466960000000,VALID,DISABLED,299,0,293,290,293,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0
467220000000,VALID,DISABLED,299,0,299,299,299,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0
467476000000,VALID,DISABLED,294,0,296,227,296,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0
467732000000,VALID,DISABLED,306,0,294,203,294,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0
